Retail Account(s),ADDR(s),CITY(s),STATE(s),ZIP9(s),PHON(s),Draft\Package(s)
SPECIAL BREWS & CAFE,14608 HWY 99 STE 307,LYNNWOOD,WA,98087,4257417049,Package
TOTAL WINE & MORE #1402,300 ANDOVER PARK W,TUKWILA,WA,98188,2065756280,Package
FLAMIN JOES,11618 E SPRAGUE,SPOKANE,WA,99206,5099225052,Package
TOTAL WINE & MORE #1403,9980 N NEWPORT HWY,SPOKANE,WA,99218,5094661644,Package
TOTAL WINE & MORE #1405,2701 184TH ST SW STE 108,LYNNWOOD,WA,98037,9999999999,Package
TOTAL WINE & MORE #1401,699 120TH AVE NE #B,BELLEVUE,WA,980053009,9545512131,Package
PINTS ALEHOUSE,18204 N LIDGERWOOD CR,COLBERT,WA,99005,5092940199,Package
99 BOTTLES,35002 PACIFIC HWY A102,FEDERAL WAY,WA,98003,2538382558,Package
FLAMIN JOES SOUTH,2620 E 29TH AVE,SPOKANE,WA,99223,5098697949,Package
FLAMIN JOES NORTH,7015 N DIVISION ST,SPOKANE,WA,99208,5094655052,Package
EDDIE'S ALEHOUSE & EATERY,238 E MAIN,SUN PRAIRIE,WI,53590,6088251515,Package
COST PLUS  - MIDDLETON,1700 DEMINGWAY #110,MADISON,WI,53562,6088291020,Package
VIKING VILLAGE LIQUOR,1625 EAST MAIN ST,REEDSBURG,WI,53959,6085246108,Package
WOODMAN'S #31,1099 S GRAND AVE,SUN PRAIRIE,WI,53590,6088251511,Package
WOODMAN'S #20,725 S GAMMON ROAD,MADISON,WI,53719,6082748944,Package
STEVES WEST,122 JUNCTION RD,MADISON,WI,53717,6088335995,Package
